aX,aY,aZ,gX,gY,gZ
"
0.936",-0.391,0.103,13.062,-20.813,10.132
"
0.920",-0.411,0.137,16.968,-16.602,14.832
"
0.924",-0.431,0.156,17.761,-7.080,17.822
"
0.953",-0.453,0.140,17.212,6.958,18.555
"
1.010",-0.480,0.097,16.235,23.499,16.785
"
1.071",-0.511,0.041,15.381,38.940,13.550
"
1.113",-0.552,-0.028,14.709,52.795,9.399
"
1.167",-0.609,-0.099,14.282,64.453,6.470
"

0.573",2.189,-0.099,-91.187,-19.165,130.371
"
0.793",1.967,0.024,-80.933,-30.701,138.489
"
0.964",1.914,0.068,-77.515,-52.124,118.286
"
1.008",1.757,0.189,-72.815,-72.388,93.933
"
1.098",1.568,0.306,-63.843,-86.060,72.815
"
1.130",1.430,0.414,-50.232,-98.633,53.772
"
1.127",1.338,0.503,-32.227,-112.854,37.231
"
1.067",1.284,0.533,-9.155,-117.126,23.010
"
0.954",1.227,0.474,18.433,-108.948,12.695
"
0.855",1.116,0.336,45.410,-84.656,7.568
"
0.783",1.016,0.142,64.575,-51.331,0.244
"
0.736",0.951,-0.091,74.280,-17.517,-11.658
"
0.709",0.865,-0.301,76.355,9.460,-23.193
"
0.685",0.755,-0.475,70.618,26.917,-29.358
"
0.677",0.712,-0.561,56.030,36.804,-31.921
"
0.699",0.685,-0.572,38.574,41.748,-33.203
"
0.734",0.710,-0.537,22.034,43.823,-33.875
"
0.784",0.760,-0.466,8.606,45.044,-35.400
"
0.821",0.812,-0.386,1.709,42.297,-38.452
"
0.839",0.853,-0.336,2.258,36.865,-41.504
"
0.860",0.870,-0.324,7.874,29.541,-42.603
"
0.867",0.878,-0.319,15.442,21.240,-42.908
"
0.900",0.887,-0.318,20.630,11.780,-43.396
"
0.926",0.888,-0.327,21.545,2.380,-44.800
"
0.950",0.888,-0.339,19.287,-5.310,-46.814
"
0.951",0.902,-0.342,14.587,-11.292,-49.561
"
0.949",0.938,-0.344,6.592,-15.381,-52.734
"
0.961",0.959,-0.342,-3.479,-20.447,-55.176
"
0.942",1.036,-0.322,-14.771,-28.198,-58.960
"
0.914",1.126,-0.246,-23.804,-38.635,-64.392
"
0.863",1.180,-0.128,-23.926,-52.002,-71.655
"
0.771",1.212,0.032,-14.771,-62.439,-79.956
"
0.684",1.191,0.188,0.366,-65.247,-85.938
"
0.586",1.141,0.276,18.433,-56.030,-86.853
"
0.538",1.102,0.283,34.302,-36.621,-83.740
"
0.565",1.036,0.209,43.884,-15.015,-80.078
