aX,aY,aZ,gX,gY,gZ
"
-0.333",-0.125,1.707,254.150,41.321,80.078
"
-0.359",-0.076,1.673,261.536,47.913,79.773
"
-0.380",-0.032,1.581,275.208,57.129,85.999
"
-0.358",-0.053,1.396,294.678,71.289,97.107
"
-0.315",-0.108,1.214,308.838,89.905,106.628
"
-0.278",-0.141,1.075,311.890,110.107,113.708
"
-0.278",-0.152,0.936,310.669,127.563,119.446
"
-0.225",-0.218,0.795,308.594,142.944,123.047
"
-0.168",-0.288,0.681,301.453,159.729,122.925
"
-0.155",-0.255,0.619,289.856,172.791,121.094
"

0.267",0.303,-2.271,106.262,171.631,-13.367
"
0.071",0.352,-2.587,102.051,127.258,-33.569
"
-0.225",0.326,-2.974,102.783,71.716,-49.805
"
-0.442",0.219,-3.363,100.586,13.184,-57.861
"
-0.480",-0.045,-3.536,84.656,-42.725,-55.176
"
-0.353",-0.356,-3.344,43.213,-87.158,-47.119
"
-0.234",-0.470,-2.824,-24.597,-108.582,-44.312
"
-0.195",-0.405,-2.237,-96.252,-112.549,-48.950
"
-0.254",-0.249,-1.672,-147.705,-114.075,-54.382
"
-0.307",-0.148,-1.259,-167.725,-116.577,-51.331
"
-0.304",-0.147,-1.063,-161.987,-118.958,-38.574
"
-0.227",-0.209,-1.063,-147.278,-121.216,-21.362
"
-0.128",-0.308,-1.145,-137.390,-120.789,-5.493
"
-0.029",-0.383,-1.239,-139.038,-119.568,6.042
"
0.047",-0.417,-1.327,-155.029,-115.540,13.367
"
0.133",-0.409,-1.387,-183.899,-105.713,15.686
"
0.241",-0.335,-1.361,-219.971,-91.309,14.832
"
0.342",-0.217,-1.269,-254.150,-79.590,11.353
"
0.383",-0.059,-1.114,-278.076,-74.036,7.690
"
0.426",0.053,-0.942,-286.682,-72.083,6.653
"
0.484",0.117,-0.785,-282.532,-71.289,6.714
"
0.546",0.111,-0.696,-269.653,-73.242,6.470
"
0.571",0.051,-0.679,-253.906,-83.313,7.812
"
0.586",-0.035,-0.698,-243.103,-95.947,7.690
"
0.563",-0.130,-0.702,-243.469,-107.544,2.441
"
0.518",-0.139,-0.660,-255.188,-114.014,-6.409
"
0.502",-0.138,-0.636,-272.949,-115.234,-15.747
"
0.494",-0.132,-0.578,-293.457,-114.624,-27.100
"
0.413",-0.053,-0.443,-314.087,-115.356,-39.124
"
0.300",0.037,-0.276,-330.505,-118.408,-49.255
"
0.187",0.129,-0.106,-336.975,-125.488,-55.176
"
0.057",0.195,0.090,-335.571,-134.827,-55.725
"
-0.037",0.244,0.214,-327.454,-144.653,-52.185
"
-0.094",0.254,0.334,-313.843,-149.292,-44.128
"
-0.120",0.272,0.433,-297.729,-148.437,-35.156
"
0.012",0.276,0.406,-281.128,-152.832,-24.963
"
0.224",0.150,0.450,-274.841,-174.744,-24.048
"
0.177",0.145,0.605,-291.931,-212.097,-47.729
"
-0.187",0.252,0.795,-319.641,-248.047,-80.505
"
-0.539",0.354,1.057,-336.365,-249.573,-96.680
"
-0.661",0.395,1.216,-337.708,-205.750,-93.872
"
-0.521",0.398,1.294,-328.857,-135.620,-73.853
"
-0.298",0.434,1.327,-318.176,-78.979,-46.997
"
-0.048",0.522,1.410,-308.350,-56.458,-30.701
"
0.128",0.618,1.576,-301.697,-70.862,-31.555
"
0.106",0.686,1.845,-297.241,-119.629,-49.561
"
-0.175",0.758,2.163,-287.781,-174.927,-72.083
"
-0.427",0.712,2.415,-263.123,-206.238,-84.595
"
-0.696",0.599,2.649,-230.774,-201.782,-84.473
"
-0.881",0.453,2.673,-192.688,-157.715,-73.547
"
-0.905",0.220,2.507,-154.785,-83.618,-53.467
"
-0.833",0.032,2.286,-131.470,-6.897,-35.217
"
-0.691",-0.055,2.091,-121.460,45.898,-23.071
"
-0.528",-0.124,1.965,-112.915,67.688,-12.634
"
-0.072",-0.268,1.971,-100.647,64.697,-1.831
"
1.097",-0.669,3.033,-103.577,17.761,-3.540
"
-0.139",0.115,3.811,-118.530,-122.131,-24.475
"
-0.743",0.517,2.857,-29.541,-170.288,-28.198
"
-0.503",-0.391,2.078,99.548,-55.603,-0.671
"
-0.292",-0.652,1.255,128.723,47.424,18.921
"
-0.180",-0.570,0.904,90.088,85.205,25.391
"
-0.061",-0.478,1.030,52.979,78.857,28.992
"
-0.033",-0.269,1.238,32.227,49.866,24.353
"
0.018",-0.169,1.341,36.011,24.475,22.095
"
0.152",-0.173,1.354,52.917,14.832,22.949
"
0.267",-0.179,1.369,67.627,10.193,20.691
"
0.275",-0.170,1.465,78.125,-2.014,16.968
"
0.159",-0.142,1.632,89.050,-25.208,12.573
"
-0.037",-0.104,1.813,103.394,-48.462,8.850
"
-0.256",-0.081,1.948,122.925,-58.594,10.376
"
-0.429",-0.066,2.028,145.630,-50.781,18.921
"
-0.541",-0.062,2.059,167.908,-30.823,31.433
"
-0.594",-0.043,2.050,188.293,-8.362,46.021
"
-0.598",-0.010,2.030,207.214,11.536,61.035
"
-0.597",0.012,2.001,224.976,26.123,72.632
"
-0.582",0.035,1.926,242.859,36.438,84.106
"
-0.563",0.042,1.792,260.620,47.363,95.886
"
-0.497",0.025,1.636,276.367,64.758,104.492
"
-0.405",-0.000,1.495,286.072,86.243,109.131
"
-0.291",0.005,1.392,288.757,103.760,111.938
"
-0.232",0.050,1.348,290.771,113.647,112.183
"
-0.198",0.083,1.220,298.218,119.873,111.389
"
-0.134",0.026,1.063,311.768,123.901,112.671
"
-0.098",-0.006,0.924,321.045,124.756,112.061
"
-0.028",-0.029,0.803,325.195,124.451,110.840
"
0.024",-0.109,0.741,325.684,122.192,104.797
"
-0.006",-0.109,0.766,317.871,120.422,93.384
"
-0.070",-0.030,0.725,311.707,121.643,86.487
"
-0.079",-0.041,0.627,316.223,127.197,85.999
"
-0.076",-0.054,0.526,318.604,141.479,84.839
"
-0.108",0.020,0.453,314.392,161.377,83.618
"
-0.108",0.127,0.351,315.002,181.030,85.693
"
-0.042",0.183,0.194,323.608,193.237,90.576
"
0.037",0.153,0.020,331.055,196.289,92.163
"
0.019",0.148,-0.099,329.468,194.275,86.853
"
-0.034",0.164,-0.254,323.486,188.477,81.055
"
-0.069",0.110,-0.431,314.514,184.204,77.576
"
-0.081",0.062,-0.614,294.800,188.904,72.754
"
-0.084",0.052,-0.640,266.663,198.242,64.392
"
-0.119",0.163,-0.649,242.187,206.665,56.702
"
-0.077",0.174,-0.695,225.830,212.097,53.528
"
-0.020",0.182,-0.729,209.839,218.506,48.889
"
0.057",0.265,-0.773,196.655,225.464,41.748
"
0.226",0.387,-0.880,194.702,220.215,33.020
"
0.407",0.466,-1.039,207.336,198.486,21.423
"
0.467",0.502,-1.334,229.004,156.555,7.324
"
0.443",0.452,-1.713,248.352,107.239,-7.874
"
0.388",0.333,-2.109,254.883,60.669,-23.010
"
0.263",0.288,-2.488,243.225,18.799,-35.950
"
0.142",0.261,-2.815,216.736,-11.169,-40.649
"
-0.013",0.208,-3.090,182.129,-22.888,-39.612
"
-0.169",0.126,-3.309,142.883,-23.804,-33.630
"
-0.248",0.005,-3.468,96.985,-21.973,-22.095
"
-0.161",-0.165,-3.449,41.077,-17.700,-7.202
"
0.030",-0.292,-3.087,-21.423,-14.709,1.892
"
0.146",-0.260,-2.554,-83.862,-20.569,0.854
"
0.159",-0.178,-2.053,-131.226,-37.903,-7.019
"
0.096",-0.154,-1.654,-156.189,-62.683,-15.442
"
0.030",-0.161,-1.382,-164.856,-85.632,-19.775
"

-0.213",0.370,2.180,-198.730,-36.499,-45.532
"
-0.170",0.350,2.296,-164.429,-33.936,-36.743
"
0.384",-0.026,2.551,-131.897,-43.213,-28.992
"
0.873",-0.219,4.000,-142.639,-129.944,-31.799
"
-1.328",0.694,3.984,-127.991,-293.701,-45.349
"
-1.340",0.226,3.183,3.601,-215.515,-31.982
"
-0.993",-0.399,2.540,109.741,-58.472,-3.845
"
-0.785",-0.379,1.783,113.770,72.815,12.939
"
-0.571",-0.361,1.403,97.046,137.451,24.963
"
-0.353",-0.357,1.324,81.909,154.602,34.668
"
-0.171",-0.221,1.480,63.965,140.991,39.551
"
-0.009",-0.074,1.586,65.857,107.178,42.969
"
0.160",-0.063,1.612,87.402,73.059,45.532
"
0.297",-0.070,1.596,111.267,41.809,43.030
"
0.337",-0.077,1.599,130.920,8.789,38.086
"
0.263",-0.100,1.601,149.536,-26.245,33.569
"
0.098",-0.130,1.612,165.649,-53.223,30.518
"
-0.104",-0.161,1.640,176.697,-61.768,28.503
"
-0.313",-0.181,1.655,184.692,-51.453,28.748
"
-0.453",-0.197,1.612,193.298,-24.963,33.203
"
-0.464",-0.227,1.521,203.003,8.667,42.542
"
-0.409",-0.241,1.455,209.839,36.804,52.124
"
-0.362",-0.218,1.429,212.891,52.124,59.937
"
-0.307",-0.176,1.425,217.285,55.664,67.139
"
-0.271",-0.143,1.425,224.182,53.162,73.059
"
-0.251",-0.124,1.387,232.666,52.734,77.393
"
-0.247",-0.119,1.354,241.089,60.425,79.224
"
-0.239",-0.101,1.289,249.390,74.341,81.604
"
-0.178",-0.105,1.178,260.376,89.844,87.219
"
-0.140",-0.114,1.089,270.447,102.905,91.736
"
-0.109",-0.091,0.988,277.283,114.075,93.750
"
-0.038",-0.096,0.888,284.973,123.596,94.116
"
0.003",-0.097,0.823,290.527,126.465,92.285
