aX,aY,aZ,gX,gY,gZ
"
-0.183",0.209,-0.920,-12.512,-46.448,13.184
"
-0.339",0.160,-0.915,-4.395,-54.260,13.977
"
-0.492",0.096,-0.949,-0.488,-48.767,18.494
"
-0.641",0.077,-0.968,-4.089,-30.884,24.231
"
-0.794",0.064,-1.011,-10.315,-13.306,30.151
"
-0.985",0.066,-1.032,-16.785,-1.465,37.170
"
-1.194",0.076,-1.036,-21.484,2.502,47.913
"
-1.390",0.099,-1.039,-23.560,0.671,64.575
"
-1.569",0.148,-1.050,-22.522,-3.784,87.158
"
-1.707",0.225,-1.063,-19.775,-7.751,113.953
"
-1.770",0.304,-1.090,-15.137,-11.047,144.531
"

-1.681",0.453,-1.160,-3.540,-21.667,211.182
"
-1.581",0.516,-1.178,-2.441,-29.419,239.685
"
-1.472",0.575,-1.162,-4.639,-38.147,262.878
"
-1.350",0.648,-1.124,-9.277,-46.753,282.104
"
-1.254",0.714,-1.073,-14.526,-53.528,296.082
"
-1.152",0.747,-0.960,-17.944,-59.143,306.458
"
-1.086",0.794,-0.915,-17.151,-71.228,315.552
"
-1.048",0.812,-0.833,-9.827,-78.064,327.759
"
-1.013",0.795,-0.774,2.014,-81.665,341.064
"
-0.970",0.744,-0.798,15.930,-89.539,352.539
"
-0.918",0.520,-0.958,29.724,-102.173,363.220
"
-0.779",0.748,-0.912,27.344,-120.117,367.981
"
-0.789",0.872,-0.720,-4.333,-143.250,365.173
"
-0.933",0.843,-0.695,-26.062,-153.931,355.164
"
-1.088",0.772,-0.723,-26.978,-135.803,352.051
"
-1.135",0.777,-0.708,-33.569,-104.553,366.394
"
-1.052",0.971,-0.685,-49.805,-66.223,386.108
"
-0.832",1.200,-0.606,-59.570,-24.475,401.489
"
-0.555",1.419,-0.531,-60.913,4.761,410.767
"
-0.328",1.683,-0.442,-52.673,13.245,414.307
"
-0.092",1.963,-0.414,-36.926,-1.526,412.598
"
0.066",2.230,-0.385,-18.738,-33.081,407.837
"
0.190",2.469,-0.424,-3.235,-71.289,399.963
"
0.325",2.657,-0.474,4.761,-105.591,390.442
"
0.605",2.949,-0.367,8.850,-141.663,382.935
"
0.707",2.817,-0.415,22.400,-215.576,389.954
"
0.919",2.775,-0.248,36.255,-240.417,389.038
"
1.153",2.563,-0.120,49.255,-225.952,393.738
"
1.578",2.412,0.019,49.744,-228.271,384.827
"
2.031",2.146,0.202,44.312,-205.383,355.347
"
2.503",1.922,0.385,23.560,-150.757,299.255
"
2.900",1.932,0.278,2.991,-44.983,225.830
"
3.288",1.833,-0.097,6.287,92.773,149.048
"
3.318",1.456,-0.703,25.818,191.895,72.388
"
2.888",1.069,-1.214,33.447,213.257,-7.385
"
2.201",0.911,-1.398,14.771,167.419,-76.355
"
1.496",0.880,-1.423,-6.775,89.111,-115.051
"
1.096",0.810,-1.311,-12.939,26.672,-124.939
"
1.036",0.702,-1.156,-11.658,-8.423,-122.253
"
1.117",0.677,-0.973,-12.939,-28.137,-123.596
"
1.160",0.760,-0.805,-17.334,-35.461,-133.911
"
1.166",0.861,-0.692,-18.494,-33.691,-148.621
"
1.139",0.957,-0.692,-17.029,-20.386,-165.344
"
1.112",1.035,-0.689,-18.738,8.240,-187.134
"
1.050",1.121,-0.705,-24.414,40.833,-209.106
"
0.990",1.244,-0.726,-28.809,64.453,-227.417
"
0.935",1.290,-0.770,-30.640,79.956,-242.187
"
0.867",1.281,-0.787,-33.264,91.736,-255.615
"
0.802",1.285,-0.792,-36.682,99.487,-266.357
"
0.796",1.316,-0.786,-36.804,104.553,-270.874
"
0.823",1.334,-0.801,-32.593,103.394,-272.949
"
0.805",1.333,-0.833,-27.283,101.257,-277.649
"
0.746",1.317,-0.863,-23.071,100.830,-284.363
"
0.641",1.253,-0.879,-21.301,103.149,-291.382
"
0.534",1.212,-0.863,-22.888,110.962,-296.936
"
0.464",1.195,-0.866,-25.024,120.850,-299.866
"
0.411",1.134,-0.879,-26.001,126.831,-301.697
"
0.352",1.065,-0.904,-28.564,129.456,-305.664
"
0.247",0.986,-0.896,-34.180,128.784,-310.486
"
0.093",0.918,-0.842,-41.809,127.258,-315.308
"
-0.024",0.895,-0.774,-47.424,125.366,-317.261
"
-0.072",0.887,-0.694,-48.157,123.230,-314.636
"
-0.152",0.881,-0.673,-45.593,114.197,-312.744
"
-0.270",0.847,-0.665,-43.152,105.225,-315.857
"
-0.369",0.825,-0.620,-43.701,111.145,-318.726
"
-0.460",0.847,-0.545,-46.997,119.934,-318.726
"
-0.479",0.926,-0.523,-46.692,121.460,-316.223
"
-0.519",0.912,-0.563,-41.992,115.234,-314.209
"
-0.706",0.818,-0.573,-39.246,104.919,-315.491
"
-0.926",0.752,-0.536,-39.856,94.604,-313.660
"
-1.106",0.719,-0.462,-40.527,86.182,-305.847
"
-1.227",0.717,-0.380,-40.649,81.482,-296.875
"
-1.322",0.724,-0.350,-39.978,82.153,-287.720
"
-1.422",0.660,-0.363,-35.889,86.060,-276.001
"
-1.445",0.601,-0.438,-29.114,90.942,-260.071
